index,time,lat,lon,east_cm,north_cm,quality
0,075207.55,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
1,075207.65,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
2,075207.75,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
3,075207.85,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
4,075207.95,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
5,075208.05,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
6,075208.15,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
7,075208.25,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
8,075208.35,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
9,075208.45,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
10,075208.55,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
11,075208.65,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
12,075208.75,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
13,075208.85,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
14,075208.95,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
15,075209.05,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
16,075209.15,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
17,075209.25,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
18,075209.35,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
19,075209.45,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
20,075209.55,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
21,075209.65,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
22,075209.75,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
23,075209.85,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
24,075209.95,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
25,075210.05,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
26,075210.15,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
27,075210.25,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
28,075210.35,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
29,075210.45,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
30,075210.55,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
31,075210.65,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
32,075210.75,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
33,075210.85,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
34,075210.95,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
35,075211.05,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
36,075211.15,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
37,075211.25,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
38,075211.35,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
39,075211.45,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
40,075211.55,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
41,075211.65,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
42,075211.75,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
43,075211.85,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
44,075211.95,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
45,075212.05,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
46,075212.15,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
47,075212.25,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
48,075212.35,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
49,075212.45,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
50,075212.55,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
51,075212.65,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
52,075212.75,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
53,075212.85,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
54,075212.95,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
55,075213.05,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
56,075213.15,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
57,075213.25,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
58,075213.35,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
59,075213.45,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
60,075213.55,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
61,075213.65,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
62,075213.75,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
63,075213.85,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
64,075213.95,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
65,075214.05,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
66,075214.15,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
67,075214.25,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
68,075214.35,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
69,075214.45,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
70,075214.55,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
71,075214.65,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
72,075214.75,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
73,075214.85,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
74,075214.95,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
75,075215.05,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
76,075215.15,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
77,075215.25,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
78,075215.35,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
79,075215.45,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
80,075215.55,37.303915833333335,127.907184,2.146619384862989,-4.408695141506769,4
81,075215.65,37.303916,127.907184,2.146619384862989,-2.553361812857702,4
