Lat,Lon
37.3030045,127.9064420
37.3030008,127.9064417
37.3029971,127.9064413
37.3029934,127.9064409
37.3029896,127.9064406
37.3029859,127.9064403
37.3029822,127.9064400
37.3029784,127.9064398
37.3029748,127.9064396
37.3029712,127.9064395
37.3029670,127.9064392
37.3029627,127.9064389
37.3029589,127.9064387
37.3029548,127.9064385
37.3029509,127.9064385
37.3029472,127.9064383
37.3029434,127.9064382
37.3029397,127.9064382
37.3029359,127.9064381
37.3029322,127.9064381
37.3029284,127.9064380
37.3029245,127.9064380
37.3029208,127.9064379
37.3029171,127.9064379
37.3029135,127.9064379
37.3029099,127.9064379
37.3029061,127.9064381
37.3029023,127.9064381
37.3028984,127.9064383
37.3028948,127.9064385
37.3028910,127.9064387
37.3028873,127.9064388
37.3028834,127.9064390
37.3028798,127.9064392
37.3028759,127.9064394
37.3028720,127.9064395
37.3028684,127.9064397
37.3028647,127.9064398
37.3028609,127.9064400
37.3028573,127.9064401
37.3028537,127.9064402
37.3028500,127.9064404
37.3028462,127.9064404
37.3028426,127.9064406
37.3028389,127.9064406
37.3028351,127.9064406
37.3028305,127.9064406
37.3028263,127.9064406
37.3028225,127.9064408
37.3028187,127.9064411
37.3028151,127.9064413
37.3028113,127.9064417
37.3028075,127.9064421
37.3028037,127.9064424
37.3028001,127.9064427
37.3027965,127.9064430
37.3027927,127.9064433
37.3027890,127.9064436
37.3027852,127.9064439
37.3027816,127.9064442
37.3027780,127.9064444
37.3027742,127.9064447
37.3027689,127.9064452
37.3027651,127.9064454
37.3027614,127.9064455
37.3027576,127.9064456
37.3027537,127.9064457
37.3027499,127.9064459
37.3027462,127.9064460
37.3027426,127.9064463
37.3027388,127.9064464
37.3027351,127.9064465
37.3027315,127.9064466
37.3027278,127.9064468
37.3027241,127.9064468
37.3027202,127.9064469
37.3027166,127.9064469
