Lat,Lon,FixStatus,FixLabel
37.3031414,127.9064754,0,FLOAT
37.3031379,127.9064739,0,FLOAT
37.3031343,127.9064721,0,FLOAT
37.3031309,127.9064707,0,FLOAT
37.3031275,127.9064691,0,FLOAT
37.3031239,127.9064677,0,FLOAT
37.3031204,127.9064664,0,FLOAT
37.3031168,127.9064650,0,FLOAT
37.3031133,127.9064637,0,FLOAT
37.3031097,127.9064625,0,FLOAT
37.3031061,127.9064614,0,FLOAT
37.3031023,127.9064605,0,FLOAT
37.3030986,127.9064595,0,FLOAT
37.3030949,127.9064586,0,FLOAT
37.3030913,127.9064576,0,FLOAT
37.3030874,127.9064567,0,FLOAT
37.3030839,127.9064557,0,FLOAT
37.3030804,127.9064547,0,FLOAT
37.3030768,127.9064541,0,FLOAT
37.3030731,127.9064533,0,FLOAT
37.3030695,127.9064524,0,FLOAT
37.3030659,127.9064516,0,FLOAT
37.3030622,127.9064506,0,FLOAT
37.3030585,127.9064501,0,FLOAT
37.3030549,127.9064492,0,FLOAT
37.3030512,127.9064482,0,FLOAT
37.3030474,127.9064473,0,FLOAT
37.3030438,127.9064463,0,FLOAT
37.3030402,127.9064453,0,FLOAT
37.3030366,127.9064443,0,FLOAT
37.3030330,127.9064436,0,FLOAT
37.3030291,127.9064427,0,FLOAT
37.3030253,127.9064421,0,FLOAT
37.3030217,127.9064414,0,FLOAT
37.3030180,127.9064408,0,FLOAT
37.3030144,127.9064403,0,FLOAT
37.3030105,127.9064396,0,FLOAT
37.3030067,127.9064390,0,FLOAT
37.3030030,127.9064387,0,FLOAT
37.3029993,127.9064384,0,FLOAT
37.3029957,127.9064380,0,FLOAT
37.3029921,127.9064377,0,FLOAT
37.3029883,127.9064373,0,FLOAT
37.3029845,127.9064368,0,FLOAT
37.3029808,127.9064365,0,FLOAT
37.3029771,127.9064362,0,FLOAT
37.3029734,127.9064361,0,FLOAT
37.3029698,127.9064358,0,FLOAT
37.3029661,127.9064357,0,FLOAT
37.3029624,127.9064356,0,FLOAT
37.3029586,127.9064355,0,FLOAT
37.3029547,127.9064359,0,FLOAT
37.3029503,127.9064359,0,FLOAT
37.3029466,127.9064361,0,FLOAT
37.3029430,127.9064359,0,FLOAT
37.3029391,127.9064354,0,FLOAT
37.3029352,127.9064352,0,FLOAT
37.3029313,127.9064346,0,FLOAT
37.3029277,127.9064339,0,FLOAT
37.3029238,127.9064332,0,FLOAT
37.3029200,127.9064331,0,FLOAT
37.3029163,127.9064331,0,FLOAT
37.3029125,127.9064334,0,FLOAT
37.3029087,127.9064336,0,FLOAT
37.3029050,127.9064339,0,FLOAT
37.3029013,127.9064340,0,FLOAT
37.3028975,127.9064342,0,FLOAT
37.3028938,127.9064344,0,FLOAT
37.3028901,127.9064346,0,FLOAT
37.3028864,127.9064348,0,FLOAT
37.3028827,127.9064349,0,FLOAT
37.3028790,127.9064351,0,FLOAT
37.3028751,127.9064351,0,FLOAT
37.3028713,127.9064355,0,FLOAT
37.3028676,127.9064359,0,FLOAT
37.3028637,127.9064361,0,FLOAT
37.3028598,127.9064364,0,FLOAT
37.3028559,127.9064366,0,FLOAT
37.3028522,127.9064369,0,FLOAT
37.3028485,127.9064372,0,FLOAT
37.3028447,127.9064373,0,FLOAT
37.3028408,127.9064376,0,FLOAT
37.3028372,127.9064378,0,FLOAT
37.3028335,127.9064379,0,FLOAT
37.3028298,127.9064381,0,FLOAT
37.3028259,127.9064381,0,FLOAT
37.3028221,127.9064383,0,FLOAT
37.3028184,127.9064385,0,FLOAT
37.3028147,127.9064387,0,FLOAT
37.3028110,127.9064389,0,FLOAT
37.3028072,127.9064391,0,FLOAT
37.3028034,127.9064392,0,FLOAT
37.3027996,127.9064395,0,FLOAT
37.3027960,127.9064400,0,FLOAT
37.3027923,127.9064402,0,FLOAT
37.3027884,127.9064404,0,FLOAT
37.3027846,127.9064406,0,FLOAT
37.3027808,127.9064409,0,FLOAT
37.3027772,127.9064413,0,FLOAT
37.3027734,127.9064415,0,FLOAT
37.3027695,127.9064419,0,FLOAT
37.3027657,127.9064422,0,FLOAT
37.3027619,127.9064424,0,FLOAT
37.3027580,127.9064421,0,FLOAT
37.3027544,127.9064422,0,FLOAT
37.3027506,127.9064424,0,FLOAT
37.3027469,127.9064424,0,FLOAT
37.3027431,127.9064425,0,FLOAT
37.3027393,127.9064427,0,FLOAT
37.3027356,127.9064428,0,FLOAT
