Lat,Lon
0.0000000,0.0000000
45.5179351,109.2413663
45.5176760,109.2416212
45.5174169,109.2418761
45.5171578,109.2421310
45.5168986,109.2423859
45.5166395,109.2426407
45.5163804,109.2428956
45.5161212,109.2431505
45.5158621,109.2434054
45.5156030,109.2436603
45.5153438,109.2439151
45.5150847,109.2441700
45.5148256,109.2444248
45.5145664,109.2446797
45.5143073,109.2449345
45.5140481,109.2451894
45.5137890,109.2454442
45.5135298,109.2456991
45.5132707,109.2459539
45.5130115,109.2462087
45.5127524,109.2464636
45.5124932,109.2467184
45.5122341,109.2469732
45.5119749,109.2472280
45.5117157,109.2474828
45.5114566,109.2477376
45.5109382,109.2482472
45.5101607,109.2490116
45.5099015,109.2492664
45.5096424,109.2495211
45.5086056,109.2505402
45.5083464,109.2507949
45.5080872,109.2510497
45.5065321,109.2525781
45.5060136,109.2530875
45.7071235,108.9167652
45.5054952,109.2535970
45.5052360,109.2538517
45.5047176,109.2543611
45.5044584,109.2546157
45.5041991,109.2548704
45.7048041,108.9190862
45.7045464,108.9193441
45.7042886,108.9196019
45.7040309,108.9198598
45.7037732,108.9201176
45.5021253,109.2569078
45.5018661,109.2571624
45.5016069,109.2574171
45.5013476,109.2576717
45.5010884,109.2579263
45.5008291,109.2581810
45.5005699,109.2584356
45.5003106,109.2586902
45.5000514,109.2589449
45.4997921,109.2591995
45.4995329,109.2594541
45.4992736,109.2597087
45.4990144,109.2599633
45.4987551,109.2602179
45.4984958,109.2604725
45.4982366,109.2607271
45.4979773,109.2609817
45.4977180,109.2612362
45.4974588,109.2614908
45.4971995,109.2617454
45.4969402,109.2620000
45.4966810,109.2622545
45.4964217,109.2625091
45.4961624,109.2627636
45.4959031,109.2630182
45.4956438,109.2632727
45.4953846,109.2635273
45.4951253,109.2637818
45.4948660,109.2640364
45.4946067,109.2642909
45.3144907,109.5615475
45.3142301,109.5617992
45.3139695,109.5620509
45.1029416,109.9063577
45.3134483,109.5625543
45.3131876,109.5628060
45.3129270,109.5630577
45.3126664,109.5633094
45.2817546,109.6138557
45.2814937,109.6141069
45.2812329,109.6143581
45.2809720,109.6146093
45.2807111,109.6148605
45.2804503,109.6151116
45.2801894,109.6153628
45.2799286,109.6156140
45.2796677,109.6158652
45.2794068,109.6161163
45.2791459,109.6163675
45.2788851,109.6166186
45.2786242,109.6168698
45.2783633,109.6171209
45.2781025,109.6173721
45.2778416,109.6176232
45.2775807,109.6178744
45.2773198,109.6181255
45.2770589,109.6183766
45.2767980,109.6186277
45.2765371,109.6188789
37.3038732,127.9071796
37.3038648,127.9071718
37.3038581,127.9071672
37.3038511,127.9071637
37.3038473,127.9071558
37.3038399,127.9071539
37.3038331,127.9071574
37.3038250,127.9071516
37.3038207,127.9071439
37.3038280,127.9071439
37.3038348,127.9071468
37.3038412,127.9071511
37.3038478,127.9071549
37.3038545,127.9071581
37.3038604,127.9071633
37.3038660,127.9071692
37.3038705,127.9071762
37.3038749,127.9071833
37.3038738,127.9071744
37.3038679,127.9071691
37.3038707,127.9071775
37.3038700,127.9071684
37.3038713,127.9071595
37.3038725,127.9071506
37.3038776,127.9071569
37.3038761,127.9071657
37.3038742,127.9071744
37.3038722,127.9071831
37.3038706,127.9071919
37.3038658,127.9071986
37.3038627,127.9071905
37.3038606,127.9071819
37.3038601,127.9071729
