timestamp,lane_valid,side,lane_center_x,error_px,half_width,pixel_count,speed_mps,motor_rpm,steering_deg
2026-07-29T07:45:06.475478+00:00,1,BOTH,689.0,49.0,514.8,20937,0.02306664761155844,4.405405185526064,0.919
2026-07-29T07:45:07.275684+00:00,1,BOTH,688.0,48.0,516.8,21966,0.0036179292044835167,0.6909735799800963,1.451
2026-07-29T07:45:08.025697+00:00,1,BOTH,687.5,47.5,518.6,21868,-0.01825575726048555,-3.4865928094704395,1.761
2026-07-29T07:45:08.075713+00:00,1,BOTH,686.5,46.5,519.8,22872,0.0084482203645166,1.613491237610917,1.929
2026-07-29T07:45:08.109572+00:00,1,BOTH,687.5,47.5,520.9,22055,-0.013729221183457412,-2.62208809937905,2.048
2026-07-29T07:45:08.125685+00:00,1,BOTH,687.0,47.0,521.7,22377,-0.005846540916245431,-1.116607064171375,2.11
2026-07-29T07:45:08.175869+00:00,1,BOTH,687.0,47.0,522.4,22661,-0.005791761245054658,-1.1061449176302227,2.147
2026-07-29T07:45:08.259189+00:00,1,BOTH,687.0,47.0,522.7,22740,0.013505327160237357,2.579327490750006,2.17
2026-07-29T07:45:08.292389+00:00,1,BOTH,687.0,47.0,523.2,22222,-0.003511697206413373,-0.6706847628512259,2.183
2026-07-29T07:45:08.375883+00:00,1,BOTH,688.0,48.0,523.5,22148,-0.013254753092478495,-2.5314713689566464,2.21
2026-07-29T07:45:08.442509+00:00,1,BOTH,688.5,48.5,523.9,21874,-0.0028722830885089933,-0.5485656617945547,2.235
2026-07-29T07:45:08.577172+00:00,1,BOTH,688.0,48.0,524.1,22361,0.010604476855951362,2.025305892633912,2.241
2026-07-29T07:45:08.592589+00:00,1,BOTH,687.5,47.5,524.2,22227,-0.0019429236468567978,-0.3710710829368697,2.235
2026-07-29T07:45:08.692704+00:00,1,BOTH,688.0,48.0,524.4,22048,-0.010266483002342284,-1.9607538215900366,2.241
2026-07-29T07:45:08.725910+00:00,1,BOTH,688.0,48.0,524.5,22247,0.0019243881182046607,0.36753105772749883,2.245
2026-07-29T07:45:08.809293+00:00,1,BOTH,687.0,47.0,524.6,22271,-0.0007238412712467834,-0.1382434995994164,2.228
2026-07-29T07:45:08.859281+00:00,1,BOTH,686.5,46.5,524.6,23109,0.0027183041512034833,0.5191578509895038,2.209
2026-07-29T07:45:08.875925+00:00,1,BOTH,687.0,47.0,524.5,22734,-0.0004746426289784722,-0.09065006472486761,2.206
2026-07-29T07:45:08.959293+00:00,1,BOTH,686.0,46.0,524.4,23096,0.009108069618232548,1.7395131621201867,2.186
2026-07-29T07:45:09.059264+00:00,1,BOTH,687.5,47.5,524.4,22426,0.004732749009272084,0.9038884790867071,2.202
2026-07-29T07:45:09.092672+00:00,1,BOTH,687.5,47.5,524.4,22253,-0.008388171684928239,-1.602022784591762,2.212
2026-07-29T07:45:09.142839+00:00,1,BOTH,687.5,47.5,524.4,22679,-0.002456190425436944,-0.46909781685993,2.218
2026-07-29T07:45:09.226150+00:00,1,BOTH,688.5,48.5,524.6,21165,-0.00027338090985722373,-0.052211907780884415,2.24
2026-07-29T07:45:09.242734+00:00,1,BOTH,688.0,48.0,524.9,21666,-0.015760473357513547,-3.010028688379682,2.244
2026-07-29T07:45:09.359450+00:00,1,BOTH,687.0,47.0,524.9,22851,0.005416162351029925,1.0344108129055607,2.228
2026-07-29T07:45:09.409462+00:00,1,BOTH,687.0,47.0,524.9,22561,0.013222293490543961,2.5252720416382344,2.218
2026-07-29T07:45:09.475974+00:00,1,BOTH,687.5,47.5,524.9,22441,0.013222293490543961,2.5252720416382344,2.221
2026-07-29T07:45:09.592782+00:00,1,BOTH,686.5,46.5,524.8,22861,0.013222293490543961,2.5252720416382344,2.205
