timestamp,lane_valid,side,lane_center_x,error_px,half_width,pixel_count,speed_mps,motor_rpm,steering_deg
2026-07-29T10:15:28.135630+00:00,1,BOTH,585.0,-55.0,516.4,23068,1.465025095967576e-05,0.002797991829323017,-1.031
2026-07-29T10:15:28.785575+00:00,1,BOTH,585.0,-55.0,519.9,22985,0.060133426303509624,11.484638449506908,-1.65
2026-07-29T10:15:29.452236+00:00,1,BOTH,585.0,-55.0,522.7,22953,-2.9261058953125032e-05,-0.005588450606991851,-2.021
2026-07-29T10:15:29.502303+00:00,1,BOTH,585.0,-55.0,525.0,22992,0.012300891606719233,2.349297244376367,-2.244
2026-07-29T10:15:29.535589+00:00,1,BOTH,585.0,-55.0,526.8,23019,1.3895334413973616e-05,0.002653813389478591,-2.378
2026-07-29T10:15:29.585599+00:00,1,BOTH,585.0,-55.0,528.2,23103,0.025102605392457917,4.794244479233934,-2.458
2026-07-29T10:15:29.602249+00:00,1,BOTH,584.5,-55.5,529.5,23005,1.4341271744342522e-05,0.002738981146003489,-2.515
2026-07-29T10:15:29.618952+00:00,1,BOTH,584.5,-55.5,530.5,23098,-1.6109688567667034e-05,-0.003076723880658244,-2.55
2026-07-29T10:15:29.652223+00:00,1,BOTH,585.0,-55.0,531.2,23096,0.0035995505972823594,0.6874635245602462,-2.561
2026-07-29T10:15:29.668958+00:00,1,BOTH,584.5,-55.5,531.9,23131,0.0055678528099088,1.0633815565261016,-2.577
2026-07-29T10:15:29.685549+00:00,1,BOTH,584.5,-55.5,532.4,22997,9.713146159811003e-06,0.0018550742691695783,-2.587
2026-07-29T10:15:29.785544+00:00,1,BOTH,585.0,-55.0,532.7,23031,0.028832413773088775,5.506585407909508,-2.583
2026-07-29T10:15:29.802320+00:00,1,BOTH,585.0,-55.0,533.0,22978,-0.0310870872050873,-5.937196314022149,-2.581
2026-07-29T10:15:29.868919+00:00,1,BOTH,584.5,-55.5,533.3,22940,0.016643629391910508,3.1786990664545365,-2.589
2026-07-29T10:15:29.885608+00:00,1,BOTH,584.5,-55.5,533.5,23035,-0.008534601357241626,-1.6299887919885645,-2.594
2026-07-29T10:15:29.902331+00:00,1,BOTH,584.5,-55.5,533.7,23006,-0.0619950569793582,-11.840183718634275,-2.597
