timestamp,lane_valid,side,lane_center_x,error_px,half_width,pixel_count,speed_mps,motor_rpm,steering_deg
2026-07-29T10:06:20.827679+00:00,1,LEFT,632.0,-8.0,512.0,10544,0.022564123878255488,4.309430222114674,-0.15
2026-07-29T10:06:21.477919+00:00,1,LEFT,632.0,-8.0,512.0,10514,-0.040620297312852924,-7.757905328643572,-0.24
2026-07-29T10:06:22.127873+00:00,1,LEFT,632.0,-8.0,512.0,10490,-0.040620297312852924,-7.757905328643572,-0.294
2026-07-29T10:06:22.194649+00:00,1,LEFT,632.0,-8.0,512.0,10524,-0.00834415079851169,-1.5936154145847854,-0.326
2026-07-29T10:06:22.228033+00:00,1,LEFT,632.0,-8.0,512.0,10477,-0.00834415079851169,-1.5936154145847854,-0.346
2026-07-29T10:06:22.244495+00:00,1,LEFT,632.0,-8.0,512.0,10507,-0.02029244111967273,-3.875570773916581,-0.358
2026-07-29T10:06:22.311215+00:00,1,LEFT,632.0,-8.0,512.0,10497,0.018904867154196835,3.6105636673032464,-0.365
2026-07-29T10:06:22.344542+00:00,1,LEFT,632.0,-8.0,512.0,10493,-0.025075703136390074,-4.7891065267937085,-0.369
2026-07-29T10:06:22.394522+00:00,1,LEFT,632.0,-8.0,512.0,10506,0.04546152620343492,8.682511938934072,-0.371
2026-07-29T10:06:22.411263+00:00,1,LEFT,632.0,-8.0,512.0,10515,-0.006872403341694735,-1.3125323553023722,-0.373
2026-07-29T10:06:22.444651+00:00,1,LEFT,632.0,-8.0,512.0,10489,-0.014303182347211986,-2.731706607004231,-0.374
2026-07-29T10:06:22.494519+00:00,1,LEFT,632.0,-8.0,512.0,10513,0.027623007216025144,5.275605769792196,-0.374
2026-07-29T10:06:22.544502+00:00,1,LEFT,632.0,-8.0,512.0,10548,0.03830017972388305,7.314795509236765,-0.375
2026-07-29T10:06:22.578056+00:00,1,LEFT,632.0,-8.0,512.0,10515,0.028914001236553303,5.5221674656351585,-0.375
