timestamp,lane_valid,side,lane_center_x,error_px,half_width,pixel_count,speed_mps,motor_rpm,steering_deg
2026-07-29T13:23:50.709147+00:00,1,BOTH,606.5,-33.5,521.3,24000,0.015159892998635769,2.895326288972518,-0.628
2026-07-29T13:23:51.509372+00:00,1,BOTH,606.0,-34.0,528.6,24074,-0.2713005765154958,-51.814593379346555,-1.014
2026-07-29T13:23:52.242971+00:00,1,BOTH,606.0,-34.0,534.7,23999,0.14504242535331285,27.701062743620383,-1.246
2026-07-29T13:23:52.309761+00:00,1,BOTH,606.5,-33.5,539.3,24080,-0.051445140645373616,-9.825298118122788,-1.376
2026-07-29T13:23:52.343202+00:00,1,BOTH,605.0,-35.0,542.8,23974,2.6247369241900742e-05,0.005012878269608012,-1.482
2026-07-29T13:23:52.376439+00:00,1,BOTH,605.5,-34.5,546.0,24109,-0.11210583656094969,-21.410637645752722,-1.536
2026-07-29T13:23:52.409765+00:00,1,BOTH,606.5,-33.5,548.5,24108,0.0676228449656628,12.91501205066655,-1.55
2026-07-29T13:23:52.459665+00:00,1,BOTH,606.5,-33.5,550.5,24368,-0.050492581299331506,-9.643372683909606,-1.558
2026-07-29T13:23:52.476424+00:00,1,BOTH,606.0,-34.0,552.2,23865,0.08254601407097653,15.765127406314875,-1.572
2026-07-29T13:23:52.526529+00:00,1,BOTH,606.5,-33.5,553.6,24321,-9.92351589957252e-06,-0.00189525192992158,-1.571
2026-07-29T13:23:52.576411+00:00,1,BOTH,606.0,-34.0,554.5,24119,-0.05672261608298868,-10.83322168165379,-1.58
2026-07-29T13:23:52.593257+00:00,1,BOTH,606.5,-33.5,555.3,24305,0.17113231339491905,32.68386431946329,-1.576
2026-07-29T13:23:52.659781+00:00,1,BOTH,606.5,-33.5,556.1,23962,0.019392516613006592,3.703697853542039,-1.574
2026-07-29T13:23:52.676479+00:00,1,BOTH,605.5,-34.5,556.6,24184,0.019392516613006592,3.703697853542039,-1.591
2026-07-29T13:23:52.743263+00:00,1,BOTH,605.5,-34.5,557.0,24084,0.019392516613006592,3.703697853542039,-1.602
2026-07-29T13:23:52.759885+00:00,1,BOTH,606.5,-33.5,557.3,24036,0.019392516613006592,3.703697853542039,-1.589
